split,subject_key,site,threshold,min_size_voxels,dice,predicted_voxels,reference_voxels,volume_ratio,recall_voxelwise
train,training_Amsterdam_GE3T_101,Amsterdam,1.35,3,0.0467803732542331,31479,885,35.56949152542373,0.8553672316384181
train,training_Amsterdam_GE3T_101,Amsterdam,1.35,5,0.04699212598425197,30865,885,34.87570621468927,0.8429378531073446
train,training_Amsterdam_GE3T_101,Amsterdam,1.4,0,0.06115466239334748,22204,885,25.089265536723165,0.7977401129943503
train,training_Amsterdam_GE3T_101,Amsterdam,1.4,2,0.062192254801934084,21658,885,24.47231638418079,0.792090395480226
train,training_Amsterdam_GE3T_101,Amsterdam,1.4,3,0.06294306226576964,21262,885,24.024858757062148,0.7875706214689265
train,training_Amsterdam_GE3T_101,Amsterdam,1.4,5,0.06357261487359292,20791,885,23.492655367231638,0.7785310734463277
train,training_Amsterdam_GE3T_101,Amsterdam,1.5,0,0.10167892850405584,9717,885,10.979661016949153,0.6090395480225989
train,training_Amsterdam_GE3T_101,Amsterdam,1.5,2,0.10441924129839655,9343,885,10.557062146892655,0.6033898305084746
train,training_Amsterdam_GE3T_101,Amsterdam,1.5,3,0.1066773611389613,9089,885,10.27005649717514,0.6011299435028249
train,training_Amsterdam_GE3T_101,Amsterdam,1.5,5,0.10872941907424666,8772,885,9.91186440677966,0.5932203389830508
train,training_Amsterdam_GE3T_101,Amsterdam,1.6,0,0.1491317671092952,4010,885,4.531073446327683,0.4124293785310734
train,training_Amsterdam_GE3T_101,Amsterdam,1.6,2,0.15555082037076498,3808,885,4.302824858757062,0.4124293785310734
train,training_Amsterdam_GE3T_101,Amsterdam,1.6,3,0.1588683351468988,3710,885,4.192090395480226,0.4124293785310734
train,training_Amsterdam_GE3T_101,Amsterdam,1.6,5,0.16363227691616095,3564,885,4.027118644067796,0.41129943502824856
train,training_Amsterdam_GE3T_102,Amsterdam,1.05,0,0.014123829857119395,169253,1239,136.6045197740113,0.9717514124293786
train,training_Amsterdam_GE3T_102,Amsterdam,1.05,2,0.014128967904711612,169191,1239,136.5544794188862,0.9717514124293786
train,training_Amsterdam_GE3T_102,Amsterdam,1.05,3,0.01413278242088459,169145,1239,136.5173527037934,0.9717514124293786
train,training_Amsterdam_GE3T_102,Amsterdam,1.05,5,0.014137760973204011,169085,1239,136.4689265536723,0.9717514124293786
train,training_Amsterdam_GE3T_102,Amsterdam,1.1,0,0.016608121399466068,141101,1239,113.88297013720742,0.9539951573849879
train,training_Amsterdam_GE3T_102,Amsterdam,1.1,2,0.016620264911836664,140997,1239,113.79903147699758,0.9539951573849879
train,training_Amsterdam_GE3T_102,Amsterdam,1.1,3,0.016527879367580038,140945,1239,113.75706214689265,0.9483454398708636
train,training_Amsterdam_GE3T_102,Amsterdam,1.1,5,0.016521714655633426,140877,1239,113.70217917675545,0.9475383373688459
train,training_Amsterdam_GE3T_102,Amsterdam,1.15,0,0.019845644983461964,114857,1239,92.70137207425343,0.9297820823244553
train,training_Amsterdam_GE3T_102,Amsterdam,1.15,2,0.019770380657460042,114692,1239,92.5682001614205,0.9249394673123487
train,training_Amsterdam_GE3T_102,Amsterdam,1.15,3,0.019657802230072293,114542,1239,92.44713478611784,0.9184826472962067
train,training_Amsterdam_GE3T_102,Amsterdam,1.15,5,0.019530506686041484,114375,1239,92.31234866828088,0.9112187247780468
train,training_Amsterdam_GE3T_102,Amsterdam,1.2,0,0.023888171854833416,90187,1239,72.79015334947539,0.8813559322033898
train,training_Amsterdam_GE3T_102,Amsterdam,1.2,2,0.023801428085685142,89932,1239,72.58434221146085,0.8757062146892656
train,training_Amsterdam_GE3T_102,Amsterdam,1.2,3,0.023486722744515916,89706,1239,72.40193704600485,0.8619854721549637
train,training_Amsterdam_GE3T_102,Amsterdam,1.2,5,0.022990534607153102,89407,1239,72.16061339790153,0.841000807102502
train,training_Amsterdam_GE3T_102,Amsterdam,1.25,0,0.028833666515883323,67292,1239,54.31154156577885,0.7974172719935432
train,training_Amsterdam_GE3T_102,Amsterdam,1.25,2,0.02863765734573516,66923,1239,54.013720742534304,0.7877320419693301
train,training_Amsterdam_GE3T_102,Amsterdam,1.25,3,0.028282411230388108,66577,1239,53.73446327683616,0.7740112994350282
train,training_Amsterdam_GE3T_102,Amsterdam,1.25,5,0.027109283370696437,66118,1239,53.364003228410006,0.7368845843422115
train,training_Amsterdam_GE3T_102,Amsterdam,1.3,0,0.036370430341906956,46932,1239,37.87893462469734,0.7070217917675545
train,training_Amsterdam_GE3T_102,Amsterdam,1.3,2,0.0362971831873464,46368,1239,37.42372881355932,0.6973365617433414
train,training_Amsterdam_GE3T_102,Amsterdam,1.3,3,0.03612235812859051,45934,1239,37.07344632768361,0.6876513317191283
train,training_Amsterdam_GE3T_102,Amsterdam,1.3,5,0.03538988860325621,45441,1239,36.67554479418886,0.6666666666666666
train,training_Amsterdam_GE3T_102,Amsterdam,1.35,0,0.047345132743362835,30401,1239,24.536723163841806,0.6045197740112994
