method,n,retention_mean,small_lesion_retention,fraction_below_half,lesions_below_half,cnr_change_percent,ssim,runtime_s
clahe,48,5.435883580497546,5.920314528729558,0.0,0,-56.979644884362585,0.7913444975255558,0.413599227865537
curvature_anisotropic_diffusion,48,0.7308935455928934,0.6570298837149446,0.13408360664214983,399,8.055635296156245,0.9808581648884837,2.044862926006317
gaussian,48,0.5504714355555903,0.4861668371419345,0.28809525405820113,878,-19.798827052597105,0.9331014780374084,0.12713276346524557
