subject_key,split,site,held_out,dice,h95_mm,avd_percent,lesion_recall,lesion_f1
training_Amsterdam_GE3T_101,training,Amsterdam,False,0.7649653434152489,16.95523054604669,20.677966101694913,0.76,0.8110992529348985
training_Amsterdam_GE3T_102,training,Amsterdam,False,0.7553889409559513,9.407822556228922,27.764326069410817,0.6608695652173913,0.7841114263605881
training_Amsterdam_GE3T_104,training,Amsterdam,False,0.9103742013994524,1.2000000476837158,2.7957763378929688,0.9036144578313253,0.920245398773006
training_Amsterdam_GE3T_105,training,Amsterdam,False,0.8920708237105466,1.2000000476837158,0.27675276752767525,0.8181818181818182,0.8582474226804124
training_Amsterdam_GE3T_106,training,Amsterdam,False,0.8775510204081632,3.2120631836682376,6.504065040650407,0.75,0.7572815533980582
training_Amsterdam_GE3T_109,training,Amsterdam,False,0.6752336448598131,12.264414888589476,43.79562043795621,0.64,0.7639257294429708
training_Amsterdam_GE3T_110,training,Amsterdam,False,0.8404977375565611,4.309871300858158,7.197382769901854,0.813953488372093,0.8767303889255109
training_Amsterdam_GE3T_112,training,Amsterdam,False,0.8647435897435898,1.9531999826431274,9.523809523809524,0.7894736842105263,0.8762169680111266
training_Amsterdam_GE3T_113,training,Amsterdam,False,0.9284551585148438,1.2000000476837158,0.07754342431761788,0.926829268292683,0.9190460194827008
training_Amsterdam_GE3T_114,training,Amsterdam,False,0.902722926626481,1.2000000476837158,0.5836981446737545,0.9230769230769231,0.9409166206515738
training_Amsterdam_GE3T_115,training,Amsterdam,False,0.8500772797527048,1.5471740876482512,4.963041182682154,0.7428571428571429,0.8263684520306063
training_Amsterdam_GE3T_116,training,Amsterdam,False,0.7862838915470495,5.076168165146016,4.567699836867863,0.7142857142857143,0.7602339181286549
training_Amsterdam_GE3T_126,training,Amsterdam,False,0.9147565226576528,1.2000000476837158,0.31739314430808296,0.8085106382978723,0.8365791701947501
training_Amsterdam_GE3T_132,training,Amsterdam,False,0.9220622536797233,1.2000000476837158,0.8399967692431951,0.8367346938775511,0.8256292906178491
training_Amsterdam_GE3T_137,training,Amsterdam,False,0.8439282803585982,3.0,7.6802507836990594,0.8421052631578947,0.8888888888888888
training_Amsterdam_GE3T_144,training,Amsterdam,False,0.7688311688311689,8.707983505482384,17.246835443037973,0.6951219512195121,0.7979594257919089
training_Singapore_Singapore_50,training,Singapore,False,0.9217462932454695,1.000000000000003,1.4717906786590351,0.8571428571428571,0.7665847665847666
training_Singapore_Singapore_51,training,Singapore,False,0.9204281588038739,1.0000000000000135,0.8459282652831039,0.7922077922077922,0.8214534478755515
training_Singapore_Singapore_52,training,Singapore,False,0.8906832298136647,2.23606797971425,4.611650485436893,0.76,0.8371843095110155
training_Singapore_Singapore_53,training,Singapore,False,0.7057010785824345,9.695359714832636,29.658792650918635,0.717391304347826,0.7810650887573964
training_Singapore_Singapore_54,training,Singapore,False,0.8305084745762712,3.0,19.84732824427481,0.8333333333333334,0.8376963350785339
training_Singapore_Singapore_55,training,Singapore,False,0.8631687242798354,3.1622776601683795,1.450777202072539,0.5757575757575758,0.6888217522658611
training_Singapore_Singapore_57,training,Singapore,False,0.9270163997314664,1.4142135592279734,0.9443052611293121,0.725,0.6866614048934492
training_Singapore_Singapore_58,training,Singapore,False,0.8636363636363636,1.4142135624817462,5.524861878453039,0.7727272727272727,0.8095238095238095
training_Singapore_Singapore_59,training,Singapore,False,0.9256518082422204,1.0000000000000124,2.762619372442019,0.7619047619047619,0.816408204102051
training_Singapore_Singapore_60,training,Singapore,False,0.9438011861056199,1.000000000000011,1.0953517764358938,0.7567567567567568,0.7220987105380169
training_Singapore_Singapore_61,training,Singapore,False,0.9233507853403141,1.414213562535856,3.0927835051546393,0.55,0.6715506715506716
training_Singapore_Singapore_62,training,Singapore,False,0.9559268256407714,1.0000000000000075,2.6707102328311487,0.7682926829268293,0.8278580814717477
training_Singapore_Singapore_64,training,Singapore,False,0.9242367833209233,1.999999999999992,2.2091310751104567,0.6428571428571429,0.7549148099606816
training_Singapore_Singapore_65,training,Singapore,False,0.916184243644601,1.0000000000000004,2.4365987071108903,0.8048780487804879,0.8421842747232126
training_Singapore_Singapore_66,training,Singapore,False,0.892075278453463,1.9999999999999991,4.039136979427997,0.7875,0.8243712942138621
training_Singapore_Singapore_68,training,Singapore,False,0.9274727058728033,1.4142135621998648,1.2990196078431373,0.7,0.674698795180723
training_Utrecht_Utrecht_0,training,Utrecht,False,0.9040550531763636,0.9583333134651261,0.30758714969241285,0.775,0.818274111675127
training_Utrecht_Utrecht_11,training,Utrecht,False,0.8072072072072072,3.8333332538604745,13.758389261744966,0.7894736842105263,0.8066361556064072
training_Utrecht_Utrecht_17,training,Utrecht,False,0.8036020583190394,6.776439844049333,16.666666666666664,0.7058823529411765,0.789873417721519
training_Utrecht_Utrecht_2,training,Utrecht,False,0.9138071719991411,0.958333313465126,3.651235348680327,0.8214285714285714,0.8389057750759878
training_Utrecht_Utrecht_21,training,Utrecht,False,0.8909040641415538,0.9583333134651273,0.4766655581421128,0.9391304347826087,0.911984410522897
training_Utrecht_Utrecht_23,training,Utrecht,False,0.7470817120622568,5.7981704160596585,32.22891566265061,0.8571428571428571,0.7058823529411764
training_Utrecht_Utrecht_25,training,Utrecht,False,0.9311852704257768,0.958333313465123,1.2123984902207479,0.8157894736842105,0.8412828947368423
training_Utrecht_Utrecht_29,training,Utrecht,False,0.9301222859995009,0.9583333134651253,0.6715582638975252,0.7283950617283951,0.7868144252441772
training_Utrecht_Utrecht_31,training,Utrecht,False,0.9396659792146872,0.9583333134651184,0.4864404718472577,0.8653846153846154,0.8314087759815243
training_Utrecht_Utrecht_35,training,Utrecht,False,0.8551791850760923,2.999998807907103,1.8482490272373542,0.7777777777777778,0.8122866894197952
training_Utrecht_Utrecht_37,training,Utrecht,False,0.9386966837720024,0.9583333134651184,0.2461606289955177,0.8478260869565217,0.8701195219123505
training_Utrecht_Utrecht_39,training,Utrecht,False,0.9456448552365795,0.9583333134651287,3.1805312932955845,0.8454545454545455,0.8806572900710207
training_Utrecht_Utrecht_4,training,Utrecht,False,0.9063670411985019,0.9583333134651288,1.0186005314437556,0.7741935483870968,0.7619047619047619
training_Utrecht_Utrecht_41,training,Utrecht,False,0.9379597737806693,0.9583333134651261,3.40244106336733,0.8,0.8258064516129033
training_Utrecht_Utrecht_49,training,Utrecht,False,0.8926631151432037,1.3552879676344864,3.4114475321443383,0.8407079646017699,0.8418400590764953
