threshold,min_size_voxels,dice,recall,volume_ratio,selected
1.05,0,0.08874789297043634,0.9602716638872099,23.278719856832563,False
1.05,2,0.08903573111960161,0.9602292286682954,23.23204480959202,False
1.05,3,0.08923353354903758,0.9600087142123713,23.19755374662928,False
1.05,5,0.08945188570503802,0.9584266970471876,23.158196571109634,False
1.1,0,0.12362332048846719,0.9540813020708002,16.180884011848804,False
1.1,2,0.124431470296071,0.9535901212807172,16.099173626661823,False
1.1,3,0.12498410399171896,0.9523942241047876,16.03255310778914,False
1.1,5,0.1256267272017544,0.9492808120330071,15.953387575904294,False
1.15,0,0.17551678953800062,0.9402537093396287,10.563021459523933,False
1.15,2,0.17752434531653563,0.9390363215885907,10.489461537866053,False
1.15,3,0.17888887810052068,0.9358721913768226,10.43356774634208,False
1.15,5,0.18051139250892015,0.9320186468571361,10.366748873489623,False
1.2,0,0.24338034357707147,0.9118133194224997,7.169082310884112,False
1.2,2,0.24722452132733608,0.9093600004062594,7.08675216652643,False
1.2,3,0.24977382063454454,0.9054442987154473,7.025298956232385,False
1.2,5,0.25283319833777834,0.8992847931031037,6.945427889342054,False
1.25,0,0.31592272342327193,0.8616213570238559,4.7650982090167275,False
1.25,2,0.3214446444086573,0.8583134928264374,4.663140976357699,False
1.25,3,0.3249201791304408,0.8547503895064962,4.554305881690134,False
1.25,5,0.32888984723858566,0.8464881129787972,4.4199132447437,False
1.3,0,0.3798677705686377,0.7950000648649932,2.8718030130531202,False
1.3,2,0.3864461280731939,0.7916698620217555,2.8065116283542166,False
1.3,3,0.39048743405529157,0.7873609262403459,2.7545443743447615,False
1.3,5,0.39512185929092697,0.7779700980125365,2.6932510022264373,False
1.35,0,0.4280356493979598,0.7190898710847297,2.0550572598777546,False
1.35,2,0.4349747511986531,0.7157854689655888,1.937891481365487,False
1.35,3,0.4394526955716615,0.7108656782379872,1.868289105977017,False
1.35,5,0.44358890436467213,0.7002612182590756,1.7860649401721869,False
1.4,0,0.4566887793859375,0.6394606720775976,1.3204401710343987,False
1.4,2,0.46310540170913844,0.6349999787331112,1.2850746982219818,False
1.4,3,0.46704690412542244,0.6298054833399794,1.224840948525159,False
1.4,5,0.47084565923918414,0.6200608293941752,1.1862905680550684,True
1.5,0,0.4490751418694514,0.4787576296490177,0.8275715790575753,False
1.5,2,0.452556179753644,0.47402014708699536,0.7979554361244212,False
1.5,3,0.4544255851697389,0.4695438509607821,0.7800540766303687,False
1.5,5,0.45529897028724586,0.4625212744644191,0.7614997859472199,False
1.6,0,0.38190254721993777,0.3388355528239655,0.5848421366796985,False
1.6,2,0.38273055777921905,0.3350175691370196,0.5744393994726793,False
1.6,3,0.382209567612062,0.33161199100692357,0.5685421773475045,False
1.6,5,0.3800945961618593,0.32472851765708505,0.5223126051223155,False
