config,n,wmh_retained_mean,wmh_retained_worst,subjects_losing_wmh,shallow_fraction,shallow_worst,brain_volume_ml,brain_fraction_of_head,runtime_s
deepbet_flair,12,1.0,1.0,0,0.032701853671776096,0.057371495327102805,1395.4077130512203,0.4989861552344101,1.6796542406082153
deepbet_t1,12,1.0,1.0,0,0.04792834739888354,0.09773275997542752,1526.4502423730019,0.5454976049240309,1.5350377162297566
hdbet_flair,12,1.0,1.0,0,0.030812556768751484,0.06181423417391951,1370.6153877468096,0.49022164053709544,46.20888394117355
hdbet_t1,12,1.0,1.0,0,0.033367289525014596,0.07110140764148233,1354.2044532259517,0.48419428023353617,52.146317740281425
