subject_key,split,site,config,runtime_s,trimmed_outside_head_voxels,brain_volume_ml,head_volume_ml,brain_fraction_of_head,shallow_fraction,shallow_volume_ml,mean_depth_mm,outside_head_voxels,wmh_retained_fraction,wmh_lost_voxels
training_Amsterdam_GE3T_110,training,Amsterdam,hdbet_flair,70.33574414253235,2659,1681.4966501142574,3028.4968519892823,0.5552248301033427,0.06780004767141848,114.00555303707714,22.942035090869883,0,1.0,0
training_Amsterdam_GE3T_112,training,Amsterdam,hdbet_flair,66.03680086135864,845,1269.0417372300024,2800.7775540041303,0.4531033660333779,0.05175117326669585,65.67439882605856,20.398556447400594,0,1.0,0
training_Amsterdam_GE3T_113,training,Amsterdam,hdbet_flair,53.0744194984436,622,1401.2976009901024,3341.768656453734,0.4193281298164882,0.05149833406928666,72.16449198627825,23.176402293892572,0,1.0,0
training_Amsterdam_GE3T_114,training,Amsterdam,hdbet_flair,52.52210187911987,227,1365.9501488596318,3300.3987072574687,0.41387428308463226,0.02601911860847005,35.54081893643608,25.054939993950477,0,1.0,0
training_Amsterdam_GE3T_115,training,Amsterdam,hdbet_flair,52.70822334289551,1301,1507.8216165163738,2732.1147590858795,0.5518880974900432,0.05896823083649082,88.91357314298827,22.111477973683673,0,1.0,0
training_Amsterdam_GE3T_116,training,Amsterdam,hdbet_flair,52.144155979156494,776,1336.6814459566908,2749.6162129058002,0.48613382467078303,0.05368795650675834,71.76369533391367,20.944620715242657,0,1.0,0
training_Amsterdam_GE3T_126,training,Amsterdam,hdbet_flair,52.58378982543945,2165,1729.423491912803,3449.9661737916326,0.501287086537462,0.04412834972535403,76.31660467437115,23.236797330450596,0,1.0,0
training_Amsterdam_GE3T_132,training,Amsterdam,hdbet_flair,52.11937141418457,987,1385.3184712971456,2746.2410832016776,0.5044416820398324,0.0519553030091541,71.97464094042135,21.70784995345279,0,1.0,0
training_Amsterdam_GE3T_137,training,Amsterdam,hdbet_flair,63.61925411224365,919,1373.0801103595913,2757.720039955804,0.4979040984818738,0.0493867622583536,67.81198097200307,21.633968212883108,0,1.0,0
training_Amsterdam_GE3T_144,training,Amsterdam,hdbet_flair,52.056800842285156,1539,1402.6265583111008,2865.5413709620975,0.4894804774150488,0.07681336695458624,107.74046852379895,19.46551309526114,0,1.0,0
training_Singapore_Singapore_50,training,Singapore,hdbet_flair,51.69918966293335,556,1237.42298341465,2404.102910607815,0.5147129841882683,0.05471132725941514,67.70105380392074,20.844123032275984,0,1.0,0
training_Singapore_Singapore_51,training,Singapore,hdbet_flair,53.20366454124451,296,1204.878,2897.814,0.41578859098617094,0.01408524348523253,16.971,26.270323227816306,0,1.0,0
training_Singapore_Singapore_52,training,Singapore,hdbet_flair,52.32870078086853,329,1101.8819124302863,2524.463799373627,0.43648156598786914,0.02523591455346398,27.80699779009819,24.429660611744207,0,1.0,0
training_Singapore_Singapore_53,training,Singapore,hdbet_flair,53.56530523300171,84,1274.796,2953.116,0.4316782679718643,0.008069526418344582,10.287,28.37882434510406,0,1.0,0
training_Singapore_Singapore_54,training,Singapore,hdbet_flair,53.50250601768494,57,1360.422,3145.095,0.4325535476670816,0.003603293683871622,4.902,32.25211612716861,0,1.0,0
training_Singapore_Singapore_55,training,Singapore,hdbet_flair,52.77401900291443,796,1345.245,3205.638,0.4196496921985577,0.031370493850562536,42.201,25.576119785165787,0,1.0,0
training_Singapore_Singapore_56,training,Singapore,hdbet_flair,54.58511233329773,703,1153.2025417582988,2600.020966844082,0.4435358623888567,0.0456476439967638,52.640979082345964,22.818734543958012,0,1.0,0
training_Singapore_Singapore_57,training,Singapore,hdbet_flair,54.01627063751221,1054,1051.3373524655453,2173.9936610046752,0.4835972483837359,0.0470257899933228,49.43996954918072,23.146914151145143,0,1.0,0
training_Singapore_Singapore_58,training,Singapore,hdbet_flair,52.38992762565613,362,1382.2102310621738,2922.916373951435,0.4728873680342726,0.02146126749099812,29.66398349761963,25.42375661678127,0,1.0,0
training_Singapore_Singapore_59,training,Singapore,hdbet_flair,56.98971152305603,408,1166.2504634261131,2668.4860603606703,0.4370457394364218,0.03205916398713826,37.38901485705376,21.660256888268556,0,1.0,0
training_Singapore_Singapore_60,training,Singapore,hdbet_flair,62.02418494224548,189,1264.1071004621983,2984.4512371828555,0.42356433394282567,0.009481001212713797,11.985000952482224,28.825943961037506,0,1.0,0
training_Singapore_Singapore_61,training,Singapore,hdbet_flair,63.2546272277832,447,1272.8282275993643,2976.8495323020393,0.42757560091223973,0.01889336186821786,24.04800430011715,26.73398701667829,0,1.0,0
training_Singapore_Singapore_62,training,Singapore,hdbet_flair,59.43689012527466,106,1363.645761056075,2765.946572032527,0.49301232888747165,0.011569735209482826,15.777020374952476,25.663635417239984,0,1.0,0
training_Singapore_Singapore_63,training,Singapore,hdbet_flair,53.21435236930847,1533,1299.1561032476425,2512.380199666023,0.5171017123205884,0.05553836490767852,72.15300573420525,21.06234410296533,0,1.0,0
training_Singapore_Singapore_64,training,Singapore,hdbet_flair,63.10319423675537,385,1347.810107114315,2903.2112307264806,0.46424803433164175,0.03134418055957442,42.24600335741043,22.347614985640178,0,1.0,0
training_Singapore_Singapore_65,training,Singapore,hdbet_flair,65.2895450592041,792,1383.3361099376677,3124.8602483415602,0.44268735239338725,0.035661618001700236,49.33200392055512,24.010737590235507,0,1.0,0
training_Singapore_Singapore_66,training,Singapore,hdbet_flair,62.7925009727478,224,1416.753,3198.267,0.44297521126284956,0.016872383541802982,23.904,26.70477632220732,0,1.0,0
training_Singapore_Singapore_67,training,Singapore,hdbet_flair,53.44075131416321,2447,1107.2880879993438,2239.65017799139,0.49440225035161744,0.09092756356069966,100.68300800156594,17.59595832928727,0,1.0,0
training_Singapore_Singapore_68,training,Singapore,hdbet_flair,53.86278057098389,315,1076.242133298266,2699.543842658043,0.3986755526217235,0.029413486384555133,31.65603333425312,24.591487105083225,0,1.0,0
training_Singapore_Singapore_69,training,Singapore,hdbet_flair,54.63328242301941,685,1372.677,2775.222,0.4946188088736685,0.026066583762968273,35.781,25.995080090823848,0,1.0,0
training_Utrecht_Utrecht_0,training,Utrecht,hdbet_flair,29.51233434677124,1498,1765.4405735919745,3255.8205106270093,0.5422413698266138,0.014125303348341436,24.937383645456542,26.687311750948062,0,1.0,0
training_Utrecht_Utrecht_11,training,Utrecht,hdbet_flair,29.42296814918518,354,1490.4719249526745,3035.2104568648897,0.4910604869529223,0.00762526226280813,11.365239323116619,27.608380351256766,0,1.0,0
training_Utrecht_Utrecht_17,training,Utrecht,hdbet_flair,29.482190132141113,2818,1640.9142682015515,2681.972715186991,0.6118310819903865,0.027528342691346748,45.17165030217278,23.15540062038895,0,1.0,0
training_Utrecht_Utrecht_19,training,Utrecht,hdbet_flair,29.08941102027893,1410,1208.8326119851038,2745.4141896342394,0.4403097414405626,0.020533614134894154,24.821702408178343,24.544248522301398,0,1.0,0
training_Utrecht_Utrecht_2,training,Utrecht,hdbet_flair,29.428768157958984,14322,1484.6608084271652,2530.0476525099107,0.5868114013403348,0.07717275116172038,114.57535912830824,20.34778733032537,0,1.0,0
training_Utrecht_Utrecht_21,training,Utrecht,hdbet_flair,29.448825359344482,10255,1636.2509433301475,3071.327398968114,0.5327504140001112,0.06980425173647653,114.2172727522648,20.71686369204506,0,1.0,0
training_Utrecht_Utrecht_23,training,Utrecht,hdbet_flair,29.534542322158813,160,1593.9307162563562,2963.3259249013213,0.5378857259210981,0.001687075206217287,2.6890809918242597,31.0396265452518,0,1.0,0
training_Utrecht_Utrecht_25,training,Utrecht,hdbet_flair,29.27246403694153,11385,1623.1923493624533,3057.779675295245,0.5308401918152346,0.04665476222807637,75.72965310993794,24.32984310528848,0,1.0,0
training_Utrecht_Utrecht_27,training,Utrecht,hdbet_flair,29.28468370437622,700,1427.708737718826,2514.53247301473,0.5677829787607052,0.01059851095938524,15.131586703523043,24.685345291120246,0,1.0,0
training_Utrecht_Utrecht_29,training,Utrecht,hdbet_flair,29.814821004867554,3647,1657.1698405202956,2940.383475649285,0.5635896998619764,0.02823092832868914,46.78344299619368,23.829599044426676,0,1.0,0
training_Utrecht_Utrecht_31,training,Utrecht,hdbet_flair,29.22923994064331,944,1454.744429263662,2909.7478480999184,0.49995549621717844,0.013393990128750487,19.48483252541225,27.216908737025257,0,1.0,0
training_Utrecht_Utrecht_33,training,Utrecht,hdbet_flair,29.69753336906433,1944,1387.1289745980448,2471.430234560985,0.561265681385681,0.021513257338759816,29.841662592577762,24.829376443557038,0,1.0,0
training_Utrecht_Utrecht_35,training,Utrecht,hdbet_flair,32.875508308410645,1205,1318.606229970632,2372.759430980446,0.5557268944984329,0.020905289947282312,27.565845563828887,22.804713336101734,0,1.0,0
training_Utrecht_Utrecht_37,training,Utrecht,hdbet_flair,30.052074193954468,205,1519.9711309515128,2960.1016985369743,0.5134861182988261,0.003948005242254895,6.000853993072674,28.982545083509965,0,1.0,0
training_Utrecht_Utrecht_39,training,Utrecht,hdbet_flair,29.961769104003906,492,1515.9996379676847,2791.1304822490038,0.5431489669182863,0.009227050506151973,13.988205226835934,25.984572204372178,0,1.0,0
training_Utrecht_Utrecht_4,training,Utrecht,hdbet_flair,28.96731185913086,406,1347.863986840808,2686.145362376292,0.5017837104870688,0.006463534789025482,8.711965769820146,27.115091552423976,0,1.0,0
training_Utrecht_Utrecht_41,training,Utrecht,hdbet_flair,29.388177633285522,9315,1455.1537034664739,2644.1512627823436,0.5503292205511983,0.0754431539763626,109.78138490989546,18.855086280267944,0,1.0,0
training_Utrecht_Utrecht_49,training,Utrecht,hdbet_flair,33.315688371658325,1443,1370.7050444836682,2639.00451164939,0.5194023119069892,0.0193006576937302,26.455508862648507,25.003383166417354,0,1.0,0
training_Utrecht_Utrecht_6,training,Utrecht,hdbet_flair,28.969429969787598,1515,1497.9681616847129,2774.508500600189,0.5399039726714366,0.030444043068977314,45.60420723028617,24.391603395623086,0,1.0,0
training_Utrecht_Utrecht_8,training,Utrecht,hdbet_flair,34.42019748687744,1219,1482.812560294566,2906.275147324724,0.5102106597372654,0.01573808262957905,23.33662659809354,26.499243462342175,0,1.0,0
