fitting_levels,site,n,cnr_change_percent,cnr_change_worst,cv_change_percent,bias_span_percent,bias_in_lesion_over_nawm,spm12_field_correlation,runtime_s
2,Amsterdam,16,4.03951413589738,-2.186247695577148,-4.182006157604764,17.289849252582957,1.0073558129370213,0.5594999542224667,6.6717256754636765
2,Singapore,16,0.6552768140980353,-3.7388639159270154,-1.0059262447493702,8.219863195361745,0.9977146610617638,0.4634725722208671,7.565021947026253
2,Utrecht,16,27.84214523828729,7.126561068098702,-4.092074396509605,16.167399732312106,0.9680253453552723,0.7382002138014605,8.107387974858284
3,Amsterdam,16,6.263401751656573,-5.563726721914564,-8.221751435984409,36.9365715901401,1.0282336473464966,0.7336436015278738,10.687230229377747
3,Singapore,16,-1.829242457034172,-12.291892256424752,-3.213595804834731,16.363190953976613,1.0175693966448307,0.3908350160195565,11.496132299304008
3,Utrecht,16,47.68145483817098,19.249753943794,-6.721453475275423,31.220470272900904,0.9478330537676811,0.8226319148354152,12.166155442595482
4,Amsterdam,16,13.264569603475941,-11.878681282313464,-12.90856879849118,57.066251916294554,1.042092576622963,0.7572558752184554,14.228395938873291
4,Singapore,16,-0.027354782965386404,-23.966541687944076,-9.58044945553895,35.114309146129905,1.0548390187323093,0.202983071334928,15.436609089374542
4,Utrecht,16,47.126407751700135,-10.806698047274521,-9.81899186825152,46.75752589819891,0.9597157649695873,0.7880556042243464,16.365111261606216
