subject_key,site,method,runtime_s,ssim,cnr_before,cnr_after,n_lesions,retention_mean,retention_median,lesions_below_half_retention,fraction_below_half_retention,small_lesion_threshold,retention_small,n_small_lesions,small_lesions_below_half,retention_2_to_3vox,retention_4_to_5vox,retention_6_to_10vox,retention_11_to_20vox,retention_21_to_50vox,retention_over_50vox,retention_1_to_1vox
training_Amsterdam_GE3T_101,Amsterdam,curvature_anisotropic_diffusion,1.6951205730438232,0.9748483815382808,8.009521161251353,8.04670855648087,25,0.8206097181328548,0.8354870592157618,1,0.04,10,0.7302698731406365,13,1,0.6724008571347205,0.8923090446789407,0.8286412736289545,0.8819214958884527,0.9505447484593671,0.920722644908273,
training_Amsterdam_GE3T_102,Amsterdam,curvature_anisotropic_diffusion,1.5397441387176514,0.9817507218899899,5.686623164469864,5.409421363805153,114,0.7480778638064781,0.8411726025325172,15,0.13157894736842105,10,0.6752428363590267,78,14,0.5790619510918779,0.7627307348850807,0.8666981954041091,0.8923232000840858,0.9153882240567346,0.9628297824959379,0.5318278059015858
training_Amsterdam_GE3T_104,Amsterdam,curvature_anisotropic_diffusion,1.651402235031128,0.9800501790313286,8.6996135008537,9.407812428607865,83,0.7903587789916398,0.8635011719193842,8,0.0963855421686747,10,0.7149278865423477,54,8,0.6770372169169022,0.7885292939893744,0.7842146525185013,0.8911353891408171,0.9471503621781734,0.9601028152021023,0.4906805816179576
training_Amsterdam_GE3T_105,Amsterdam,curvature_anisotropic_diffusion,1.706254243850708,0.9824294924070506,8.592424737176474,9.138489712928294,44,0.8241210246541608,0.8699363460760012,2,0.045454545454545456,10,0.7413153949026021,25,2,0.6893404947767331,0.8237533607935268,0.8013752822829192,0.90718772132337,0.9385920771315984,0.9741580669299401,
training_Amsterdam_GE3T_106,Amsterdam,curvature_anisotropic_diffusion,1.752955436706543,0.9810893407378262,9.630003682568953,9.692660556858092,16,0.8759085169825231,0.9226125525923226,1,0.0625,10,0.8190059939142355,10,1,0.4006358891682913,0.9160124806516479,0.9023637012179896,0.940100097617898,0.9745939865288384,0.9783960873008134,0.7296146810072391
training_Amsterdam_GE3T_109,Amsterdam,curvature_anisotropic_diffusion,1.7057952880859375,0.9772718739014853,5.264223387886005,4.7949888994548635,50,0.7118530257683533,0.7944333525251108,7,0.14,10,0.6448003001330272,37,7,0.5574772727745373,0.7637696915592567,0.9038668698943495,0.8735994323181545,0.9301295663547297,0.893132811888251,0.476917249748519
training_Amsterdam_GE3T_110,Amsterdam,curvature_anisotropic_diffusion,2.0224545001983643,0.9789214445692033,9.130193017958744,8.9883073304878,43,0.8371980946609766,0.9127556813740875,4,0.09302325581395349,10,0.7689494829136541,27,4,0.7058384982233683,0.8648305848515673,0.9117062584466782,0.9233451960837794,0.9567728600325645,0.9827893110175661,0.6283654780057306
training_Amsterdam_GE3T_112,Amsterdam,curvature_anisotropic_diffusion,1.750990390777588,0.983113385464009,6.610060904492846,6.791353598690764,76,0.7773597857031183,0.8323952482854431,8,0.10526315789473684,10,0.7150528788784893,55,8,0.6211530551492762,0.7900197247231935,0.8754845448801651,0.9215933093013824,0.940015673637439,0.9725706523198436,0.4440130983858151
training_Amsterdam_GE3T_113,Amsterdam,curvature_anisotropic_diffusion,1.6082661151885986,0.9798141800066047,8.524891968818112,9.255297119534974,82,0.8244855988876664,0.86889187333515,4,0.04878048780487805,10,0.775225052832683,57,4,0.7667756844787769,0.8367128616481297,0.889790904403242,0.9140739183507752,0.9462541369056667,0.9658574833703099,0.5222912634549794
training_Amsterdam_GE3T_114,Amsterdam,curvature_anisotropic_diffusion,1.7417857646942139,0.980252887236198,7.7032272532358315,8.660701901173908,78,0.8920638302471738,0.938543425754488,2,0.02564102564102564,10,0.8307764550503538,40,2,0.7776975886022762,0.8501675589449362,0.9049983213696899,0.9341467840564844,0.9464620329046783,0.97848918242904,0.6790142227829172
training_Amsterdam_GE3T_115,Amsterdam,curvature_anisotropic_diffusion,1.7633178234100342,0.9789077305726595,7.433540098095572,7.747569227688095,35,0.8216113577996786,0.8473262538346261,1,0.02857142857142857,10,0.762765308072923,24,1,0.706727365174848,0.7898697525891021,0.8803676278984234,0.9283452688778104,0.9812728295526021,0.9724709522888455,0.6871409835610901
training_Amsterdam_GE3T_116,Amsterdam,curvature_anisotropic_diffusion,1.618441104888916,0.9814534230651755,9.870486127593093,9.783314331753413,35,0.8607576107812892,0.9153616718130325,1,0.02857142857142857,10,0.8305208524908437,27,1,0.8086586001226228,0.9233402846016631,0.9278136724321892,0.960273260939953,0.9560836882033659,0.9808808290677813,0.4596295789673056
training_Amsterdam_GE3T_126,Amsterdam,curvature_anisotropic_diffusion,1.6762974262237549,0.9781497252800769,8.464633482035108,8.957702523113186,47,0.8011687892191973,0.8161840899539776,0,0.0,10,0.751535613642353,30,0,0.7605846950279488,0.7746047083523294,0.7610595378625781,0.8196054242313037,0.9011128646515255,0.9747804493711124,0.6632520294833307
training_Amsterdam_GE3T_132,Amsterdam,curvature_anisotropic_diffusion,1.9268410205841064,0.9829218846177062,12.703576168142146,14.555391232622046,49,0.7425886105976256,0.7992570396096089,9,0.1836734693877551,10,0.6605363920669168,34,9,0.6823246014200073,0.7650048160326693,0.6888992391167971,0.892176303806656,0.9458897866298198,0.9583975239298542,0.45582319367426577
training_Amsterdam_GE3T_137,Amsterdam,curvature_anisotropic_diffusion,1.802915334701538,0.9801255878007603,6.095774717368331,6.312511885837553,152,0.8143702784761467,0.8930450000973413,9,0.05921052631578947,10,0.7487315283520871,100,9,0.6574434447667277,0.6938593867434882,0.8843512094265465,0.9215500752147726,0.9608200207487876,0.9676838620603674,0.7533021344316855
training_Amsterdam_GE3T_144,Amsterdam,curvature_anisotropic_diffusion,1.9974896907806396,0.97816148492548,6.044075202816956,5.716577924918276,82,0.7792245716921132,0.8245213179609368,6,0.07317073170731707,10,0.7488205608642305,68,6,0.7230256776314791,0.820831104834242,0.8435814394097041,0.905361200798684,0.9700850407957873,0.9627319504019595,0.5724357505249712
training_Singapore_Singapore_50,Singapore,curvature_anisotropic_diffusion,1.981982707977295,0.9798806448171677,6.3482008252319195,7.226846296715162,70,0.7830415763330661,0.8035798765583841,3,0.04285714285714286,10,0.7189886862490902,45,3,0.7147752283068598,0.7463933824431965,0.7880114956007893,0.831290404807054,0.916118237857605,0.9495591207247254,0.5835551255267042
training_Singapore_Singapore_51,Singapore,curvature_anisotropic_diffusion,2.294689655303955,0.9831804201299978,5.952305343892863,7.257000125509797,76,0.7062033342917279,0.7355741721498558,9,0.11842105263157894,10,0.6454694152336103,52,9,0.54018008856062,0.6260301443438544,0.7295344711096919,0.7772689148155599,0.854378453441576,0.9294060961602301,0.572379729516265
training_Singapore_Singapore_52,Singapore,curvature_anisotropic_diffusion,2.3638415336608887,0.9817921861238854,5.345085279661273,5.76894131159875,50,0.6208473044413053,0.6445329906490085,13,0.26,10,0.5320584300415223,37,13,0.5037219008136634,0.5662914615553407,0.6430646740922459,0.8589923586939189,0.83531358521407,0.9359164874207282,0.4173083705161888
training_Singapore_Singapore_53,Singapore,curvature_anisotropic_diffusion,1.9707980155944824,0.9778218778870098,4.5527875639330615,4.530411871270447,46,0.6296549529390479,0.7098448784807059,11,0.2391304347826087,10,0.5384776815675484,34,11,0.5478533073456443,0.6211002541145632,0.7693065543163987,0.8841067382015395,0.8957581890718125,,0.19715051028823075
