subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio,mean,sd,p_low,p_high,percentile_range
training_Amsterdam_GE3T_101,Amsterdam,wm_referenced,636.0361633300781,174260.0,0.9900859495990549,1.5779721809706564,1.0,1.5679474828100082,1.3363757628780817,1.5679474828100082,1.3,0.03325175461661374,0.9288135593220339,54.86553672316384,,,,,
training_Amsterdam_GE3T_101,Amsterdam,z_score,,,0.18765279198614537,1.9182794443722277,0.21683789437737527,1.8887686157575378,1.2070649644948572,8.710509854289615,,,,,589.1864549753853,216.05867594876003,,,
training_Amsterdam_GE3T_101,Amsterdam,percentile,,,0.606630046456412,1.0,0.6132637951947517,0.9932922139704783,0.838341558808679,1.6196818102641173,,,,,,,53.09967567443847,1003.6473718261719,"[1, 99]"
training_Amsterdam_GE3T_102,Amsterdam,wm_referenced,712.7575378417969,137432.0,1.039582346687239,1.5219486000789768,1.0,1.4030810289540783,1.1989301256112066,1.4030810289540783,1.3,0.033571254613237414,0.7231638418079096,42.082324455205814,,,,,
training_Amsterdam_GE3T_102,Amsterdam,z_score,,,0.17541471400630793,1.692647862606396,0.05091253734908712,1.3187622146445979,0.6766266678676379,25.90250424178169,,,,,701.2205840094183,226.60339541269067,,,
training_Amsterdam_GE3T_102,Amsterdam,percentile,,,0.6575941266421238,1.0,0.6294967465047294,0.9156223010652936,0.77070654905238,1.4545306328416656,,,,,,,80.67903533935547,1084.780336914061,"[1, 99]"
training_Amsterdam_GE3T_104,Amsterdam,wm_referenced,686.6348571777344,159330.0,0.9465583266158217,1.6261480749190287,1.0,1.6118601128524173,1.3303175858149978,1.6118601128524173,1.3,0.4114978114657841,0.9250059995200384,3.4958003359731222,,,,,
training_Amsterdam_GE3T_104,Amsterdam,z_score,,,0.2170245274598743,2.14991879138232,0.3690237360950932,2.109280862410247,1.3085154934216898,5.715840625131792,,,,,597.5469268176131,241.41517644047792,,,
training_Amsterdam_GE3T_104,Amsterdam,percentile,,,0.5588683361027157,1.0,0.5935581093964994,0.9907254744559015,0.8079720946117269,1.669129709074689,,,,,,,58.767830047607426,1116.569951171875,"[1, 99]"
training_Amsterdam_GE3T_105,Amsterdam,wm_referenced,763.1641540527344,131876.0,0.929392995175061,1.500071210227164,1.0,1.6133643519310694,1.3413979074882867,1.6133643519310694,1.3,0.2531624569698478,0.9384993849938499,6.4142066420664205,,,,,
training_Amsterdam_GE3T_105,Amsterdam,z_score,,,0.25130276293810005,1.8844743454671227,0.45336646673140457,2.208697584844429,1.430381790145908,4.871770955554514,,,,,642.2640047047889,266.6720152895038,,,
training_Amsterdam_GE3T_105,Amsterdam,percentile,,,0.5943335124929069,1.0,0.6445244868200314,1.0805344056272945,0.8872071165755763,1.676483093696654,,,,,,,71.20645233154298,1144.8005761718753,"[1, 99]"
training_Amsterdam_GE3T_106,Amsterdam,wm_referenced,648.2495727539062,148471.0,1.0308693568100167,1.5588990785262407,1.0,1.6838360816354816,1.4282972258243893,1.6838360816354816,1.3,0.031784243290515504,0.9814169570267132,60.75493612078978,,,,,
training_Amsterdam_GE3T_106,Amsterdam,z_score,,,0.15926559377077107,1.807907839685434,0.06288365986031971,2.197992740085345,1.4001358471181065,34.95332086217048,,,,,635.1935170722421,207.62238887916018,,,
training_Amsterdam_GE3T_106,Amsterdam,percentile,,,0.6373583692298358,1.0,0.6161578317714033,1.085804561159573,0.9103049186483911,1.7622182258691315,,,,,,,66.66226257324219,1010.5556616210937,"[1, 99]"
training_Amsterdam_GE3T_109,Amsterdam,wm_referenced,689.9038696289062,166311.0,0.9768085400966171,1.4706845002625322,1.0,1.3782168350454311,1.1760001450892807,1.3782168350454311,1.3,0.02379689778602678,0.6551094890510949,54.058394160583944,,,,,
training_Amsterdam_GE3T_109,Amsterdam,z_score,,,0.2516304255814976,1.7235478022713229,0.32074881881352874,1.4479628898790193,0.8452887696340012,4.514320256065574,,,,,615.6552983422455,231.4850965353861,,,
