config,subject_key,site,runtime_s,brain_volume_ml,head_volume_ml,brain_fraction_of_head,shallow_fraction,shallow_volume_ml,mean_depth_mm,outside_head_voxels,wmh_retained_fraction,wmh_lost_voxels
hdbet_flair,training_Amsterdam_GE3T_102,Amsterdam,48.94210243225098,1400.2667853763685,3017.1847759495527,0.46409712674480924,0.04379186374637223,61.32029227377257,23.088538675237963,607,1.0,0
hdbet_flair,training_Amsterdam_GE3T_112,Amsterdam,66.7796790599823,1272.0125545216522,2800.7775540041303,0.45416407765162214,0.053965832234669144,68.64521611770842,20.350915106123562,845,1.0,0
hdbet_flair,training_Amsterdam_GE3T_114,Amsterdam,54.1078200340271,1366.7482264042524,3300.3987072574687,0.41411609554894624,0.026587849743664935,36.338896481056814,25.040309804860275,227,1.0,0
hdbet_flair,training_Amsterdam_GE3T_115,Amsterdam,52.27366662025452,1512.395620417482,2732.1147590858795,0.5535622599262648,0.06181423417391951,93.48757704409653,22.0446052684566,1301,1.0,0
hdbet_flair,training_Singapore_Singapore_51,Singapore,54.026660203933716,1205.766,2897.814,0.41609502887348876,0.014811331551893153,17.859,26.25097615133024,296,1.0,0
hdbet_flair,training_Singapore_Singapore_52,Singapore,55.709848403930664,1102.8689123518468,2524.463799373627,0.4368725400718727,0.026108268525092283,28.793997711658477,24.407797566338278,329,1.0,0
hdbet_flair,training_Singapore_Singapore_59,Singapore,53.91695189476013,1167.474463912487,2668.4860603606703,0.437504426669065,0.03307396995564783,38.613015343427655,21.637547899090865,408,1.0,0
hdbet_flair,training_Singapore_Singapore_60,Singapore,52.99250864982605,1264.6741005072595,2984.4512371828555,0.4237543186334773,0.009925087413831548,12.552000997543335,28.813020227153594,189,1.0,0
hdbet_flair,training_Utrecht_Utrecht_17,Utrecht,29.005131483078003,1648.6784469482136,2681.972715186991,0.6147260326745214,0.032108037286968615,52.93582904883474,23.04635408696695,2818,1.0,0
hdbet_flair,training_Utrecht_Utrecht_29,Utrecht,28.555760145187378,1667.2180864924462,2940.383475649285,0.5670070248657948,0.03408773538914091,56.831688968344345,23.685979157768724,3647,1.0,0
hdbet_flair,training_Utrecht_Utrecht_35,Utrecht,29.013551473617554,1321.9262543488844,2372.759430980446,0.5571261195251692,0.023364291192850235,30.88586994208114,22.74743918486536,1205,1.0,0
hdbet_flair,training_Utrecht_Utrecht_39,Utrecht,29.182926893234253,1517.355201680823,2791.1304822490038,0.5436346352601139,0.010112180010967422,15.343768939974257,25.961358296947836,492,1.0,0
hdbet_t1,training_Amsterdam_GE3T_102,Amsterdam,52.923033714294434,1370.8915424571665,3017.1847759495527,0.4543611493020763,0.044699456354497895,61.2781066688144,23.188288929638592,792,1.0,0
hdbet_t1,training_Amsterdam_GE3T_112,Amsterdam,52.85388994216919,1286.7435893761055,2800.7775540041303,0.4594237009420877,0.05870604082591743,75.53962169040118,20.170850233008007,1468,1.0,0
hdbet_t1,training_Amsterdam_GE3T_114,Amsterdam,53.05827331542969,1358.4193907073075,3300.3987072574687,0.41159251084427706,0.026373000672912678,35.82559550522145,25.01907731437191,367,1.0,0
hdbet_t1,training_Amsterdam_GE3T_115,Amsterdam,52.60152888298035,1529.7951171942575,2732.1147590858795,0.5599307686863423,0.07110140764148233,108.77058623557814,21.739487612414848,3321,1.0,0
hdbet_t1,training_Singapore_Singapore_51,Singapore,53.355010747909546,1263.72,2897.814,0.43609424207350783,0.018096572025448676,22.869,25.59812704609089,697,1.0,0
hdbet_t1,training_Singapore_Singapore_52,Singapore,53.58679676055908,1154.6669082353114,2524.463799373627,0.4573909550700664,0.03200663048307434,36.95699706292152,23.762949854697837,1035,1.0,0
hdbet_t1,training_Singapore_Singapore_59,Singapore,52.908429861068726,1248.0634959356785,2668.4860603606703,0.4677047088516518,0.04895906697017698,61.104024280548096,20.75780081275355,3093,1.0,0
hdbet_t1,training_Singapore_Singapore_60,Singapore,53.00634431838989,1346.9581070466043,2984.4512371828555,0.4513252186080455,0.01409175341770122,18.98100150847435,27.946746006331125,756,1.0,0
